bpp_target,method,baseline,mean_diff,diff_ci_low,diff_ci_high,median_ratio,better_on,n_clusters,significant
0.05,adaptive,random,0.0010952770463043503,0.0001978091645151033,0.002007770600568858,1.1104247220748782,3,12,True
0.05,adaptive-matching,random,-0.0006732526102170583,-0.0013509369440174602,-8.881896915225562e-05,0.9809250536980281,7,12,True
0.05,edge,random,0.0006049884049166978,-0.00018430281311892038,0.0013601959255366797,1.1252810028064064,4,12,False
0.05,matching,random,-0.007870519813204942,-0.009477339565166209,-0.006376179540030986,0.18571112060764716,12,12,True
0.05,sequential,random,0.0022364584811977247,0.0016943689420848324,0.002748785181204703,1.1733377109595504,0,12,True
0.05,stc,random,-0.0076221813380655985,-0.00930176988728581,-0.006061455567059159,0.18253145088561742,12,12,True
0.05,uniward,random,-0.007844448071657345,-0.009455027504492569,-0.006369214451017933,0.15980673557238506,12,12,True
0.05,wow,random,-0.007832762298300806,-0.009559163540293467,-0.006269994513343026,0.1400494778851128,12,12,True
0.1,adaptive,random,-0.010500740699784725,-0.01173212533426888,-0.00941448143836621,0.5840826757064406,12,12,True
0.1,adaptive-matching,random,-0.013775888617196608,-0.015206139593216388,-0.012681027960451247,0.45229662899467793,12,12,True
0.1,edge,random,-0.012515145759654123,-0.013658801891252067,-0.011510606620189826,0.5249722281382506,12,12,True
0.1,matching,random,-0.022720268585739157,-0.02482049202841716,-0.02067864070864621,0.0695549390049164,12,12,True
0.1,sequential,random,0.004926588997549928,0.0041027922842387776,0.0057380977354694945,1.1967664091170618,0,12,True
0.1,stc,random,-0.022161530296163346,-0.024441007531166764,-0.02004911648322919,0.09971885100700603,12,12,True
0.1,uniward,random,-0.02277433160323607,-0.025016384230827027,-0.02054234038439994,0.058646113496007936,12,12,True
0.1,wow,random,-0.022601605727727514,-0.024680031672341448,-0.020485927238442607,0.07812589368472514,12,12,True
0.2,adaptive,random,-0.033476880821203925,-0.03513713501220573,-0.03192538428421929,0.43226640753426115,12,12,True
0.2,adaptive-matching,random,-0.03997309192304659,-0.04157996922388597,-0.0384418602735785,0.32321126113885656,12,12,True
0.2,edge,random,-0.039939700709600415,-0.041124007860190964,-0.038735447880376465,0.3285098473105127,12,12,True
0.2,matching,random,-0.055935205480273836,-0.05821259818080284,-0.05341254746825214,0.033682992529880953,12,12,True
0.2,sequential,random,0.004602730044925439,0.0037715188610468894,0.005346075857913074,1.0863733052351445,0,12,True
0.2,stc,random,-0.05480601711871899,-0.05669518135058463,-0.05263743906747632,0.05647833622366334,12,12,True
0.2,uniward,random,-0.05529293911862871,-0.05738207195996224,-0.052970959446462046,0.04626295354223846,12,12,True
0.2,wow,random,-0.05539062933437872,-0.05753702390497222,-0.05309383418164232,0.037585981356609795,12,12,True
0.4,adaptive,random,-0.07301827108220645,-0.07513616645103129,-0.07096971641909354,0.420964620155443,12,12,True
0.4,adaptive-matching,random,-0.09309100377987935,-0.09508990615346548,-0.09105825081681543,0.26026650997300727,12,12,True
0.4,edge,random,-0.08511436661653914,-0.08685340808216967,-0.08316923881184742,0.3240003599919676,12,12,True
0.4,matching,random,-0.12268589746370705,-0.1248923764857005,-0.12022462860901101,0.013247721574218295,12,12,True
0.4,sequential,random,0.004143458956856759,0.002980767196274964,0.005455911698315915,1.029994534412062,0,12,True
0.4,stc,random,-0.1220498745917889,-0.12449869981253703,-0.11964651502840565,0.02332239004162779,12,12,True
0.4,uniward,random,-0.12259327229175992,-0.12470546823164744,-0.1203595343303973,0.01755752784827284,12,12,True
0.4,wow,random,-0.12241238709963696,-0.12455824281023102,-0.12023061292509825,0.02112625562450811,12,12,True
